museum_id,day,open,close,open_time,close_time,duration,rank
59,Friday,11:00:AM,08:00:PM,11:00:00,20:00:00,09:00:00,36
59,Saturday,11:00:AM,08:00:PM,11:00:00,20:00:00,09:00:00,36
60,Sunday,10:00:AM,07:00:PM,10:00:00,19:00:00,09:00:00,36
60,Friday,11:00:AM,08:00:PM,11:00:00,20:00:00,09:00:00,36
60,Saturday,10:00:AM,07:00:PM,10:00:00,19:00:00,09:00:00,36
61,Saturday,11:00:AM,08:00:PM,11:00:00,20:00:00,09:00:00,36
68,Thursday,11:00:AM,08:00:PM,11:00:00,20:00:00,09:00:00,36
80,Tuesday,11:00:AM,08:00:PM,11:00:00,20:00:00,09:00:00,36
80,Wednesday,11:00:AM,08:00:PM,11:00:00,20:00:00,09:00:00,36
30,Saturday,10:30:AM,07:00:PM,10:30:00,19:00:00,08:30:00,67
37,Sunday,10:00:AM,06:30:PM,10:00:00,18:30:00,08:30:00,67
37,Monday,10:00:AM,06:30:PM,10:00:00,18:30:00,08:30:00,67
37,Wednesday,10:00:AM,06:30:PM,10:00:00,18:30:00,08:30:00,67
37,Thursday,10:00:AM,06:30:PM,10:00:00,18:30:00,08:30:00,67
37,Friday,10:00:AM,06:30:PM,10:00:00,18:30:00,08:30:00,67
37,Saturday,10:00:AM,06:30:PM,10:00:00,18:30:00,08:30:00,67
49,Sunday,09:30:AM,06:00:PM,09:30:00,18:00:00,08:30:00,67
49,Tuesday,09:30:AM,06:00:PM,09:30:00,18:00:00,08:30:00,67
49,Wednesday,09:30:AM,06:00:PM,09:30:00,18:00:00,08:30:00,67
49,Friday,09:30:AM,06:00:PM,09:30:00,18:00:00,08:30:00,67
49,Saturday,09:30:AM,06:00:PM,09:30:00,18:00:00,08:30:00,67
33,Sunday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
33,Wednesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
33,Thursday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
33,Friday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
33,Saturday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
36,Sunday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
36,Tuesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
36,Wednesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
36,Saturday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
38,Monday,09:30:AM,05:30:PM,09:30:00,17:30:00,08:00:00,79
38,Wednesday,09:30:AM,05:30:PM,09:30:00,17:30:00,08:00:00,79
38,Thursday,09:30:AM,05:30:PM,09:30:00,17:30:00,08:00:00,79
38,Friday,09:30:AM,05:30:PM,09:30:00,17:30:00,08:00:00,79
38,Saturday,09:30:AM,05:30:PM,09:30:00,17:30:00,08:00:00,79
43,Sunday,09:00:AM,05:00:PM,09:00:00,17:00:00,08:00:00,79
43,Monday,09:00:AM,05:00:PM,09:00:00,17:00:00,08:00:00,79
43,Tuesday,09:00:AM,05:00:PM,09:00:00,17:00:00,08:00:00,79
43,Wednesday,09:00:AM,05:00:PM,09:00:00,17:00:00,08:00:00,79
43,Thursday,09:00:AM,05:00:PM,09:00:00,17:00:00,08:00:00,79
43,Friday,09:00:AM,05:00:PM,09:00:00,17:00:00,08:00:00,79
43,Saturday,09:00:AM,05:00:PM,09:00:00,17:00:00,08:00:00,79
45,Sunday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
45,Tuesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
45,Friday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
45,Saturday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
47,Sunday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
47,Monday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
47,Tuesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
47,Wednesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
47,Thursday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
47,Saturday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
48,Sunday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
48,Tuesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
48,Wednesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
48,Thursday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
48,Friday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
48,Saturday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
52,Sunday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
52,Tuesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
52,Wednesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
52,Thursday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
52,Friday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
52,Saturday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
62,Sunday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
62,Monday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
62,Tuesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
62,Wednesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
62,Thursday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
62,Friday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
62,Saturday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
64,Sunday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
64,Monday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
64,Wednesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
64,Thursday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
64,Friday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
64,Saturday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
71,Wednesday,09:00:AM,05:00:PM,09:00:00,17:00:00,08:00:00,79
71,Thusday,09:00:AM,05:00:PM,09:00:00,17:00:00,08:00:00,79
72,Sunday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
72,Tuesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
72,Wednesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
72,Friday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
77,Saturday,12:00:PM,08:00:PM,12:00:00,20:00:00,08:00:00,79
82,Sunday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
82,Monday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
82,Wednesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
82,Thursday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
82,Friday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
82,Saturday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
